"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Mobile","0","Navegação","1","0","Navegação Sequencial","0"
"0","Mobile","0","Formulário","2","0","Input de Texto","0"
"0","Mobile","0","Navegação","1","0","Navegação Home","0"
"0","Mobile","0","Login","1","0","Login Válido","0"
"0","Mobile","0","Login","2","0","Login Inválido","0"
"0","Mobile","0","Navegação","1","0","Navegação Pós-Login","0"
"0","Mobile","0","Cadastro","3","0","Cadastro Inválido","0"
"0","Mobile","0","Formulário","1","0","Formulário Completo","0"
"0","Mobile","0","Cadastro","1","0","Cadastro Válido","0"
"0","Mobile","0","Formulário","1","0","Switch","0"
"0","Mobile","0","Formulário","1","0","Botão","0"
"0","Mobile","0","Navegação","1","0","Navegação Swipe","0"
"0","Mobile","0","Formulário","1","0","Dropdown","0"
